batter,first,second,third,outs,total_runs_inn,runs_up_to_batter,runs_after_batter,at_least_1_scored,base
Pederson,_,_,_,0,0,0,0,False,_ _ _
Demarse,_,_,_,1,0,0,0,False,_ _ _
Bosinger,1,_,_,1,0,0,0,False,1 _ _
Williams,1,_,_,2,0,0,0,False,1 _ _
Reynoso,_,_,_,0,0,0,0,False,_ _ _
Aguirre,_,_,_,1,0,0,0,False,_ _ _
Hassis,_,2,_,1,0,0,0,False,_ 2 _
Richards,1,2,_,1,0,0,0,False,1 2 _
Pancino,_,2,3,2,0,0,0,False,_ 2 3
Pederson,_,_,_,0,0,0,0,False,_ _ _
Demarse,_,_,_,1,0,0,0,False,_ _ _
Bosinger,_,_,_,2,0,0,0,False,_ _ _
Williams,_,_,_,0,0,0,0,False,_ _ _
Reynoso,_,_,_,1,0,0,0,False,_ _ _
Aguirre,_,_,_,2,0,0,0,False,_ _ _
Hassis,1,_,_,2,0,0,0,False,1 _ _
Richards,_,_,_,0,1,0,1,True,_ _ _
Pancino,_,2,_,0,1,0,1,True,_ 2 _
Pederson,_,_,3,1,1,0,1,True,_ _ 3
Demarse,_,2,_,1,1,1,0,False,_ 2 _
Bosinger,_,2,_,2,1,1,0,False,_ 2 _
Williams,_,_,_,0,3,0,3,True,_ _ _
Reynoso,_,_,_,1,3,0,3,True,_ _ _
Aguirre,1,_,_,1,3,0,3,True,1 _ _
Hassis,_,2,_,1,3,1,2,True,_ 2 _
Heathcock,_,2,_,2,3,1,2,True,_ 2 _
Hermosillo,1,_,_,2,3,2,1,True,1 _ _
Pederson,1,_,_,2,3,3,0,False,1 _ _
Pederson,_,_,_,0,1,0,1,True,_ _ _
Demarse,_,2,_,0,1,0,1,True,_ 2 _
Aguirre,_,_,3,1,1,0,1,True,_ _ 3
Heathcock,1,_,3,1,1,0,1,True,1 _ 3
Reynoso,_,_,_,0,0,0,0,False,_ _ _
Bosinger,_,_,_,1,0,0,0,False,_ _ _
Dobson,_,2,_,1,0,0,0,False,_ 2 _
Mulligan,1,2,_,1,0,0,0,False,1 2 _
Hassis,1,2,_,2,0,0,0,False,1 2 _
Pederson,_,_,_,0,1,0,1,True,_ _ _
Demarse,1,_,_,0,1,0,1,True,1 _ _
Aguirre,_,2,_,1,1,0,1,True,_ 2 _
Heathcock,1,_,_,1,1,1,0,False,1 _ _
Reynoso,1,_,_,2,1,1,0,False,1 _ _
Bosinger,_,_,_,0,0,0,0,False,_ _ _
Dobson,_,_,_,1,0,0,0,False,_ _ _
Mulligan,_,_,_,2,0,0,0,False,_ _ _
Williams,_,_,_,0,1,0,1,True,_ _ _
Pederson,1,_,_,0,1,0,1,True,1 _ _
Demarse,1,2,_,0,1,0,1,True,1 2 _
Aguirre,_,2,3,1,1,0,1,True,_ 2 3
Heathcock,_,_,3,2,1,1,0,False,_ _ 3
Bosinger,_,_,_,0,0,0,0,False,_ _ _
Dobson,_,_,_,1,0,0,0,False,_ _ _
Mulligan,_,_,_,0,1,0,1,True,_ _ _
Williams,_,_,_,1,1,0,1,True,_ _ _
Pederson,_,_,_,2,1,0,1,True,_ _ _
Demarse,_,_,3,2,1,0,1,True,_ _ 3
Pederson,_,_,_,0,0,0,0,False,_ _ _
Demarse,_,2,_,0,0,0,0,False,_ 2 _
Aguirre,_,_,3,1,0,0,0,False,_ _ 3
Heathcock,_,_,3,2,0,0,0,False,_ _ 3
Bosinger,_,_,_,0,0,0,0,False,_ _ _
Reynoso,_,_,_,1,0,0,0,False,_ _ _
Dobson,_,_,_,2,0,0,0,False,_ _ _
Hassis,_,_,_,0,0,0,0,False,_ _ _
Mulligan,_,_,_,1,0,0,0,False,_ _ _
Pederson,1,_,_,1,0,0,0,False,1 _ _
Demarse,1,_,_,2,0,0,0,False,1 _ _
Aguirre,_,_,_,0,0,0,0,False,_ _ _
Heathcock,1,_,_,0,0,0,0,False,1 _ _
Bosinger,_,2,_,1,0,0,0,False,_ 2 _
Reynoso,_,_,_,0,0,0,0,False,_ _ _
Dobson,_,_,_,1,0,0,0,False,_ _ _
Williams,_,_,_,2,0,0,0,False,_ _ _
Mulligan,_,_,_,0,0,0,0,False,_ _ _
Pederson,1,_,_,0,0,0,0,False,1 _ _
Demarse,1,2,_,0,0,0,0,False,1 2 _
Aguirre,_,2,3,1,0,0,0,False,_ 2 3
Heathcock,_,2,3,2,0,0,0,False,_ 2 3
Bosinger,_,_,_,0,0,0,0,False,_ _ _
Coberly,_,_,_,1,0,0,0,False,_ _ _
Dobson,_,_,_,2,0,0,0,False,_ _ _
Pederson,_,_,_,0,1,0,1,True,_ _ _
Demarse,_,_,_,0,1,1,0,False,_ _ _
Bosinger,_,_,_,1,1,1,0,False,_ _ _
Williams,_,2,_,1,1,1,0,False,_ 2 _
Aguirre,1,2,_,1,1,1,0,False,1 2 _
Richards,1,2,_,2,1,1,0,False,1 2 _
Mulligan,_,_,_,0,1,0,1,True,_ _ _
Pancino,1,_,_,0,1,0,1,True,1 _ _
Pederson,_,_,3,1,1,0,1,True,_ _ 3
Demarse,_,_,_,2,1,1,0,False,_ _ _
Bosinger,_,_,_,0,3,0,3,True,_ _ _
Williams,_,_,_,1,3,0,3,True,_ _ _
Aguirre,1,_,_,1,3,0,3,True,1 _ _
Richards,_,2,3,1,3,0,3,True,_ 2 3
Mulligan,_,_,_,1,3,3,0,False,_ _ _
Pancino,1,_,_,1,3,3,0,False,1 _ _
Pederson,1,2,_,1,3,3,0,False,1 2 _
Demarse,_,_,_,0,0,0,0,False,_ _ _
Bosinger,1,_,_,0,0,0,0,False,1 _ _
Williams,1,2,_,0,0,0,0,False,1 2 _
Aguirre,1,2,_,1,0,0,0,False,1 2 _
Heathcock,1,2,_,2,0,0,0,False,1 2 _
Richards,_,_,_,0,0,0,0,False,_ _ _
Mulligan,_,2,_,0,0,0,0,False,_ 2 _
Pancino,_,2,_,1,0,0,0,False,_ 2 _
Pederson,_,_,3,2,0,0,0,False,_ _ 3
Demarse,_,_,_,0,3,0,3,True,_ _ _
Bosinger,_,2,_,0,3,0,3,True,_ 2 _
Williams,1,_,_,0,3,1,2,True,1 _ _
Adams,1,_,3,0,3,1,2,True,1 _ 3
Pederson,_,_,_,0,0,0,0,False,_ _ _
Demarse,_,_,_,1,0,0,0,False,_ _ _
Bosinger,_,_,_,2,0,0,0,False,_ _ _
Williams,_,_,_,0,0,0,0,False,_ _ _
Aguirre,1,_,_,0,0,0,0,False,1 _ _
Mulligan,_,_,_,0,0,0,0,False,_ _ _
Richards,_,_,_,1,0,0,0,False,_ _ _
Pancino,_,_,_,2,0,0,0,False,_ _ _
Pederson,_,_,_,0,0,0,0,False,_ _ _
Demarse,_,_,_,1,0,0,0,False,_ _ _
Bosinger,_,_,_,2,0,0,0,False,_ _ _
Williams,1,_,_,2,0,0,0,False,1 _ _
Aguirre,_,_,_,0,0,0,0,False,_ _ _
Reynoso,_,_,_,1,0,0,0,False,_ _ _
